127.0.0.1 - - [26/Jun/2024:16:21:39 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jun/2024:16:21:41 +0700] "GET /Lab1/index.jsp HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [26/Jun/2024:16:21:44 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Jun/2024:16:25:00 +0700] "GET /Lab1/bai2 HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [26/Jun/2024:16:25:10 +0700] "GET /Lab1/bai3 HTTP/1.1" 200 3174
0:0:0:0:0:0:0:1 - - [26/Jun/2024:16:26:06 +0700] "GET /Lab1/index.jsp HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [26/Jun/2024:16:48:47 +0700] "GET /Lab1/index.jsp HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [26/Jun/2024:16:48:49 +0700] "GET /Lab1/bai1.jsp HTTP/1.1" 200 1768
0:0:0:0:0:0:0:1 - - [26/Jun/2024:16:48:51 +0700] "GET /Lab1/bai2 HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [26/Jun/2024:16:48:58 +0700] "POST /Lab1/bai2 HTTP/1.1" 200 2525
0:0:0:0:0:0:0:1 - - [26/Jun/2024:16:49:01 +0700] "GET /Lab1/bai3 HTTP/1.1" 200 3174
0:0:0:0:0:0:0:1 - - [26/Jun/2024:16:49:06 +0700] "GET /Lab1/bai2 HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [26/Jun/2024:16:49:09 +0700] "GET /Lab1/bai2 HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [26/Jun/2024:16:49:24 +0700] "POST /Lab1/bai2 HTTP/1.1" 200 2525
0:0:0:0:0:0:0:1 - - [26/Jun/2024:16:50:23 +0700] "GET /Lab1/bai2 HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [26/Jun/2024:16:50:25 +0700] "GET /Lab1/bai2 HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [26/Jun/2024:16:50:35 +0700] "GET /Lab1/bai2 HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [26/Jun/2024:16:53:47 +0700] "GET /Lab1/bai2 HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [26/Jun/2024:17:22:31 +0700] "POST /Lab1/bai2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:17:22:35 +0700] "GET /Lab1/bai2 HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [26/Jun/2024:17:22:41 +0700] "GET /Lab1/bai2 HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [26/Jun/2024:17:22:41 +0700] "GET /Lab1/bai2 HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [26/Jun/2024:17:22:42 +0700] "GET /Lab1/bai2 HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [26/Jun/2024:17:22:44 +0700] "POST /Lab1/bai2 HTTP/1.1" 200 2536
0:0:0:0:0:0:0:1 - - [26/Jun/2024:17:25:38 +0700] "POST /Lab1/bai2 HTTP/1.1" 200 2536
0:0:0:0:0:0:0:1 - - [26/Jun/2024:17:25:47 +0700] "POST /Lab1/bai2 HTTP/1.1" 500 2536
0:0:0:0:0:0:0:1 - - [26/Jun/2024:17:26:44 +0700] "POST /Lab1/bai2 HTTP/1.1" 200 2536
